	auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
0	0.94593003326452	0.19761742152064252	0.010712035286704474	0.0	0.0	0.0
1	0.9292292650630903	0.13684454384819678	0.09737927364640149	0.012105893308500731	0.004789144605560729	0.003591858454170547
2	0.9202950027514423	0.1355464630737054	0.02689486552567237	0.009779951100244499	0.009779951100244499	0.009779951100244499
3	0.936223056751072	0.20168988015082728	0.12159782663379785	0.0147909644312522	0.0005030940282738844	0.0004024752226191075
4	0.9153563345377199	0.21007401242232512	0.10537819424744808	0.0005115446322691655	0.0	0.0
5	0.9760522737242948	0.40678046340076746	0.45116125844177235	0.12057321693295997	0.0	0.0
6	0.9126621907875008	0.21327997924196423	0.15007612322244177	0.0	0.0	0.0
7	0.919374380047919	0.21091471550351773	0.11275949106268995	0.0	0.0	0.0
8	0.9358409173974522	0.19112481276386756	0.1448692152917505	0.06602112676056338	0.0071680080482897385	0.0003772635814889336
9	0.9855026011470598	0.06465327209084155	0.0	0.0	0.0	0.0
