	auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
0	0.96166922571954	0.16559139758850175	0.12139378044211314	0.02959910078681154	0.0	0.0
1	0.954076474769157	0.20761980695024587	0.09448035803083044	0.0	0.0	0.0
2	0.9212376037804856	0.11162193556478398	0.0	0.0	0.0	0.0
3	0.9868409013715006	0.3105624443104836	0.26946752847029853	0.036011080332409975	0.0007694675284702986	0.0007694675284702986
4	0.9612931238281384	0.31307964745306127	0.256491344873502	0.0	0.0	0.0
5	0.9595629200885554	0.2618061416684244	0.2278582930756844	0.0005367686527106817	0.00044730721059223476	0.00044730721059223476
6	0.9627873472886314	0.250274170539349	0.18326110204311363	0.0	0.0	0.0
7	0.9899666452970417	0.22695547888556328	0.15491423904165533	0.018785733732643615	0.005445140212360468	0.0005445140212360468
8	0.9539574192914574	0.2069447231885118	0.10242320511665616	0.0	0.0	0.0
9	0.9634398194484671	0.14916414048566196	0.04675124412981005	0.0	0.0	0.0
