	pos	neg	amb	pos%	neg%	amb%
ENCSR000BMT	60912.0	2569339.0	157990.0	0.021846031243353783	0.9214910045437249	0.056662964212921337
ENCSR061DGF	116306.0	2513148.0	158787.0	0.041713037000747064	0.9013381554894286	0.05694880750982429
