	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR000EGN	19737.0	5535506.0	195867.0	0.003431859241085634	0.9625108892022584	0.03405725155665602	0	0.9559893295126606	0.1977221421654494	0.08988194761108578	0.0	0.0	0.0
ENCSR000EIB	15160.0	5476372.0	259578.0	0.0026360128740364904	0.9522287001987443	0.04513528692721927	1	0.9798769277507947	0.3792986021757645	0.3381266490765171	0.13555408970976254	0.02038258575197889	0.0
ENCSR837GTK	25781.0	5357620.0	367709.0	0.004482786801156646	0.9315801645247613	0.06393704867408205	2	0.9285368582230344	0.12053406535258004	0.0	0.0	0.0	0.0
ENCSR000EBZ	6668.0	5446640.0	297802.0	0.0011594283538308256	0.9470589155832526	0.05178165606291655	3	0.9637776926230938	0.18507431511939093	0.11502699460107979	0.0	0.0	0.0
ENCSR000BGK	10309.0	5553764.0	187037.0	0.0017925235302402494	0.9656855806965959	0.03252189577316379	4	0.9726865777877622	0.20895232774573846	0.11572412455136288	0.0	0.0	0.0
ENCSR000BSA	15212.0	5326194.0	409704.0	0.0026450546068498082	0.9261158280749281	0.07123911731822205	5	0.9364100643504905	0.15650578800657874	0.03858795687615041	0.01288456481724954	0.0026952405995266894	0.0026295030239284773
ENCSR000BRF	11275.0	5475001.0	264834.0	0.001960491105195345	0.9519903114355316	0.04604919745927308	6	0.9672741890671523	0.22570914894894228	0.11849223946784923	0.02376940133037694	0.00017738359201773836	0.00017738359201773836
ENCSR196HGZ	17569.0	5316670.0	416871.0	0.0030548885345611544	0.9244597999342735	0.07248531153116529	7	0.9210572253795419	0.0975638076784299	0.0	0.0	0.0	0.0
ENCSR000BVO	5939.0	5346159.0	399012.0	0.0010326702149671975	0.9295873318368106	0.06937999794822217	8	0.8625081193411354	0.013063041257084634	0.0	0.0	0.0	0.0
ENCSR000BSK	21335.0	5461411.0	268364.0	0.0037097186456179765	0.9496272893406664	0.04666299201371561	9	0.9404928766313513	0.15760919749890956	0.028357159596906493	0.00014061401453011483	4.687133817670495e-05	4.687133817670495e-05
ENCSR000DYS	3351.0	5485322.0	262437.0	0.000582670128027459	0.953784921519498	0.04563240835247456	10	0.9413404680857149	0.04008811619593762	0.0	0.0	0.0	0.0
ENCSR000EDH	18240.0	5732870.0		0.0031715616637483894	0.9968284383362516		11	0.9666601797354171	0.2291715228464451	0.10707236842105264	0.015131578947368421	0.0010964912280701754	0.0008771929824561404
ENCSR000EYV	1340.0	5749770.0		0.00023299849942011195	0.9997670015005798		12	0.9445274314541696	0.013944879658078882	0.0	0.0	0.0	0.0
ENCSR000BKP	5386.0	5543067.0	202657.0	0.0009365148640871067	0.9638255919292101	0.0352378932067027	13	0.9738002928218539	0.18587463336198437	0.08559227627181581	0.010025993316004456	0.0	0.0
ENCSR000EEI	17114.0	5528188.0	205808.0	0.002975773372444624	0.961238439188261	0.03578578743929433	14	0.9869104967261201	0.5320027815120896	0.5792333761832418	0.3102722916910132	0.02179502161972654	0.006719644735304429
