loss , kernel_size1,n_conv_1,Dense,Dropout,n_conv,lr,filters,time,filters_1,filters_2
0.4856647248566895, 39, 2, 200, 0.6, 0, 0.001, 100, 2247, 250, 40
1.366580484668685, 13, 1, 50, 0.4, 3, 0.001, 50, 43278, 500, 40
0.4268788664197151, 19, 0, 200, 0.4, 0, 0.0001, 100, 2185, 50, 40
0.4326615700114272, 19, 0, 200, 0.2, 0, 0.001, 100, 2298, 500, 60
0.76567079035208, 15, 0, 50, 0.4, 3, 0.0001, 100, 7286, 100, 60
1.156242127270326, 15, 3, 200, 0.6, 1, 0.001, 500, 19639, 100, 40
1.554629692503302, 39, 1, 200, 0.2, 3, 0.001, 250, 30074, 100, 40
1.344168645861625, 15, 1, 200, 0.4, 3, 0.0001, 500, 29209, 250, 60
0.7864660132708022, 15, 0, 50, 0.2, 3, 0.0001, 100, 11556, 100, 60
1.211701348073839, 19, 2, 50, 0.2, 2, 0.001, 250, 10088, 50, 40
0.4849010396700981, 39, 1, 100, 0.4, 0, 0.0001, 100, 1621, 50, 40
0.7514657282646527, 13, 3, 50, 0.4, 1, 0.0001, 250, 10320, 100, 60
1.394094553853527, 19, 1, 100, 0.4, 1, 0.0001, 500, 38753, 500, 60
1.153082238000902, 39, 2, 50, 0.6, 2, 0.001, 50, 63972, 500, 40
1.552431054243225, 15, 1, 200, 0.2, 1, 0.001, 250, 10712, 100, 40
1.256332920861431, 25, 3, 200, 0.6, 2, 0.0001, 50, 38337, 500, 40
1.873638803333943, 25, 0, 200, 0.2, 2, 0.001, 500, 19402, 50, 20
1.250011370174489, 19, 0, 100, 0.2, 2, 0.001, 50, 12819, 250, 60
1.127001204047277, 13, 0, 100, 0.6, 1, 0.001, 250, 5893, 100, 60
0.428272503899487, 25, 2, 100, 0.4, 0, 0.0001, 50, 1792, 250, 40
0.4386582174433845, 19, 0, 200, 0.2, 0, 0.0001, 100, 2078, 50, 20
0.43908041523429, 19, 0, 200, 0.2, 0, 0.0001, 100, 1754, 50, 20
0.4392343242949912, 19, 0, 200, 0.4, 0, 0.0001, 100, 2087, 500, 20
0.4362255856009885, 19, 0, 200, 0.4, 0, 0.001, 100, 2217, 500, 60
0.4391091749422194, 19, 0, 200, 0.4, 0, 0.0001, 100, 1752, 500, 20
0.4281796184286955, 19, 0, 200, 0.2, 0, 0.001, 100, 2200, 50, 60
0.4248301463611046, 25, 2, 100, 0.4, 0, 0.0001, 50, 1523, 250, 40
