tf	cell	expr	pos	neg	amb	pos%	neg%	amb%	task_id	auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
JUND	GM12878	ENCSR000EYV	1500.0	4862268.0		0.00030840286789994917	0.9996915971321001		0	0.9752658467200904	0.07583838518032066	0.016	0.002	0.0006666666666666666	0.0006666666666666666
JUND	GM12878	ENCSR000DYS	3394.0	4616388.0	243986.0	0.0006978128891016183	0.9491381990259404	0.050163988084958	1	0.9651623741786397	0.09590084413767855	0.012669416617560401	0.0017678255745433118	0.0002946375957572186	0.0002946375957572186
RELA	GM12878	ENCSR000EAG	10269.0	4853499.0		0.002111326033643052	0.9978886739663569		2	0.9457600406389611	0.09891907818999598	0.002044989775051125	0.0	0.0	0.0
SPI1	GM12878	ENCSR000BGQ	18410.0	4845358.0		0.003785131198692043	0.9962148688013079		3	0.9741416618051302	0.3013177378896302	0.209614340032591	0.06230309614340033	0.013199348180336773	0.0012493210211841391
STAT1	GM12878	ENCSR332EYT	4856.0	4513509.0	345403.0	0.0009984028843481021	0.9279860799281545	0.07101551718749743	4	0.9563965486455348	0.17412400634224764	0.0	0.0	0.0	0.0
