	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR000BGW	8992.0	5742118.0		0.0015635242587952586	0.9984364757412048		0	0.9872233996434556	0.27659822082459073	0.1688167259786477	0.05171263345195729	0.006116548042704627	0.0003336298932384342
ENCSR000BUW	27700.0	5535634.0	187776.0	0.004816461517863508	0.9625331457753373	0.03265039270679921	1	0.9802717876651007	0.4135542692030033	0.37967509025270757	0.15700361010830324	0.025884476534296028	0.004945848375451264
ENCSR000BGQ	18367.0	5732743.0		0.0031936443573501463	0.9968063556426499		2	0.9753330094234708	0.2933828033505901	0.21135732563837317	0.04344748734142756	0.0034845102629716337	0.0016333641857679533
ENCSR000BIJ	21315.0	5536492.0	193303.0	0.0037062410560743924	0.962682334366757	0.033611424577168585	3	0.9781779352459855	0.37226850505424436	0.32592071311283133	0.12061928219563688	0.036406286652592074	0.014403002580342482
