	pos	neg	amb	pos%	neg%	amb%
ENCSR000BGW	151672.0	3101379.0		0.04662453801062449	0.9533754619893755	
ENCSR000BUW	440593.0	2625862.0	186596.0	0.13543993008409644	0.807199764159861	0.057360305756042555
ENCSR000BGQ	291502.0	2961549.0		0.08960880109165212	0.9103911989083479	
ENCSR000BIJ	334480.0	2666280.0	252291.0	0.10282039845056226	0.8196244079788482	0.07755519357058958
