	auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
0	0.9932894427100945	0.4017077137488888	0.3752479174930583	0.3018643395477985	0.23244744149147165	0.14240380801269337
1	0.9543848740946254	0.2645408329635344	0.19950124688279303	0.13672714764812108	0.09355920543468914	0.07567288674864563
2	0.9708515392185735	0.2848839993045894	0.22759301014656144	0.14289740698985343	0.09484216459977451	0.07567643742953777
3	0.9918593769435851	0.5503534621183264	0.5693127962085308	0.47808056872037913	0.34834123222748814	0.1552132701421801
4	0.9809856478204597	0.5766029355822491	0.6050251256281407	0.535678391959799	0.4311557788944724	0.3035175879396985
5	0.9489916430469353	0.36161202600883857	0.3406065088757396	0.25388313609467456	0.16863905325443787	0.13553994082840237
6	0.9926294887712777	0.5048851275660581	0.508147512864494	0.3979416809605489	0.30017152658662094	0.22126929674099485
7	0.9442457885727179	0.317041881279411	0.2860647511429952	0.1324759320521875	0.0	0.0
8	0.9330576364612058	0.2693289676976969	0.22723918148272393	0.10016772895001677	0.03535726266353573	0.028111372022811137
9	0.949998476298437	0.27599121123133474	0.24137258724897642	0.1879508676155196	0.14915188145837396	0.10664846948722947
10	0.9671433404984224	0.3867530616467618	0.3630036139740329	0.2501673136126355	0.15232231294338108	0.1232766697898541
11	0.9674739581285576	0.2728371547075959	0.21730382293762576	0.14301191765980498	0.09797245008512614	0.07831605014703606
12	0.974604448182431	0.5635234123182682	0.5993047508690614	0.4584009269988413	0.2910776361529548	0.05376593279258401
13	0.9153798947499423	0.14825233446149202	0.02276198094684023	0.0	0.0	0.0
14	0.9618141792986828	0.38101983925009025	0.3290105044741279	0.2300609518869148	0.1635326157437427	0.11113992997017248
15	0.926359964838802	0.39358535949321516	0.3815368196371398	0.26881003201707576	0.1554162219850587	0.0416221985058698
16	0.9718436596243543	0.4273322222076486	0.4046543938867662	0.3285863146926016	0.2420979506773185	0.20701632511288642
17	0.9193429475940269	0.15389934561894855	0.09367323906260373	0.0	0.0	0.0
