	auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
0	0.9532771046163572	0.5830838587729175	0.6311239193083573	0.43707973102785785	0.3121998078770413	0.23198847262247838
1	0.9891328500408911	0.4233951169045235	0.42998585572843	0.264026402640264	0.11032531824611033	0.055634134842055635
2	0.9886817530565868	0.25196831084625504	0.12628447809626825	0.006219578150351541	0.0016224986479177934	0.0016224986479177934
3	0.9225390951957994	0.17227006123188024	0.11400749063670412	0.03775280898876404	0.0006741573033707865	0.0006741573033707865
4	0.9835512308288907	0.37030343121020787	0.37328042328042327	0.17433862433862435	0.0	0.0
5	0.9259480664815716	0.3115267409072173	0.28536228857799123	0.1146794737941115	0.025976195447901442	0.0139068699102109
6	0.9488730853718521	0.2520836586782618	0.231369150779896	0.09228769497400346	0.0030329289428076256	0.001949740034662045
7	0.9721217089621383	0.37175331112149196	0.33706044401231566	0.20855614973262032	0.13725490196078433	0.0748663101604278
8	0.959539505159026	0.380473419541061	0.38466413181242076	0.25665399239543724	0.10551330798479087	0.04340937896070976
9	0.8717403783026393	0.12240231220106315	0.10103791569582715	0.00487184918449481	0.0014827367083245075	0.0014827367083245075
