tf	cell	exp	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
SPI1	GM12878	ENCSR000BGQ	18410.0	4845358.0		0.003785131198692043	0.9962148688013079		0	0.9584869357241655	0.2634730341000314	0.1913633894622488	0.06583378598587725	0.00010863661053775122	0.00010863661053775122
STAT1	GM12878	ENCSR332EYT	4856.0	4513509.0	345403.0	0.0009984028843481021	0.9279860799281545	0.07101551718749743	0	0.9482998039108632	0.11857796832783757	0.0	0.0	0.0	0.0
