	auROC	auPRC	recall@50%FDR	recall@25%FDR	recall@10%FDR
0	0.9697641607776981	0.16797473589158335	0.11486486486486487	0.013513513513513514	0.013513513513513514
1	0.955784649079792	0.3001655725527945	0.23537234042553193	0.08643617021276596	0.006648936170212766
2	0.9845305433555667	0.16825792593807867	0.041379310344827586	0.006896551724137931	0.006896551724137931
3	0.9614716306718727	0.35978086435614004	0.31470829909613807	0.15283483976992604	0.030402629416598194
4	0.9230911563383387	0.11829054872983565	0.000881057268722467	0.0	0.0
5	0.9817252402048128	0.3356582700971659	0.340632603406326	0.029197080291970802	0.021897810218978103
6	0.9656200877194533	0.18688444540966212	0.09523809523809523	0.03333333333333333	0.0
7	0.9586124415626538	0.23407039768588123	0.16354166666666667	0.0	0.0
8	0.9607125346692289	0.18439736411782343	0.0	0.0	0.0
9	0.9633994772468575	0.322126253739122	0.3247706422018349	0.09357798165137615	0.003669724770642202
