	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR000EGN	18794.0	4644600.0	200374.0	0.00386408233287443	0.9549386401654026	0.041197277501722945	0	0.9493517510423607	0.196966351937713	0.0749707353410663	0.0	0.0	0.0
ENCSR000EIB	15780.0	4576937.0	271051.0	0.0032443981703074655	0.9410269979982598	0.05572860383143275	1	0.9765199018179453	0.4217475198293884	0.39689480354879597	0.2041191381495564	0.05602027883396705	0.0031051964512040556
ENCSR000BRF	9986.0	4606118.0	247664.0	0.0020531406925659284	0.9470266673903854	0.05092019191704868	2	0.971548927253358	0.2288322464357961	0.11436010414580412	0.007610654916883637	0.001001401962747847	0.0008011215701982776
ENCSR000EYV	1500.0	4862268.0		0.00030840286789994917	0.9996915971321001		3	0.9321730694400224	0.018226857798417075	0.0	0.0	0.0	0.0
ENCSR000BVO	3727.0	4664337.0	195704.0	0.0007662783257754071	0.9589966051012302	0.04023711657299443	4	0.8709461562361622	0.01023110187908809	0.0	0.0	0.0	0.0
ENCSR837GTK	22769.0	4485588.0	355411.0	0.0046813499328092955	0.9222454689450648	0.0730731811221259	5	0.9193955743520758	0.1168609006545492	0.0	0.0	0.0	0.0
ENCSR000EBZ	5525.0	4576387.0	281856.0	0.0011359505634314794	0.9409139169466965	0.05795013248987205	6	0.9704217047658218	0.20209464640497438	0.13031674208144797	0.0	0.0	0.0
ENCSR000EEI	25422.0	4528029.0	310317.0	0.005226811805168339	0.930971419689426	0.06380176850540568	7	0.9846738541929637	0.6094025980630432	0.6642278341593895	0.44764377310990483	0.2005743057194556	0.0252143812445913
ENCSR196HGZ	15658.0	4434987.0	413123.0	0.003219314737051603	0.9118418065993279	0.08493887866362047	8	0.9163026101833326	0.09738869371823788	0.0	0.0	0.0	0.0
ENCSR000BSK	21975.0	4549525.0	292268.0	0.004518102014734255	0.9353910383883441	0.060090859596921564	9	0.929151331300454	0.17306789026024177	0.058475540386803186	0.0058703071672354945	0.00022753128555176336	0.00022753128555176336
ENCSR000DYS	3394.0	4616388.0	243986.0	0.0006978128891016183	0.9491381990259404	0.050163988084958	10	0.9359380279615443	0.055680728454151375	0.0005892751915144372	0.0002946375957572186	0.0002946375957572186	0.0002946375957572186
ENCSR000EDH	13784.0	4849984.0		0.0028340167540885997	0.9971659832459114		11	0.9714220393628689	0.23473948993265917	0.11070806732443413	0.006674405107370864	7.254788160185723e-05	7.254788160185723e-05
ENCSR000BSA	15017.0	4450963.0	397788.0	0.003087523911502358	0.9151265027443743	0.08178597334412332	12	0.9367340116696047	0.15622095323233778	0.0	0.0	0.0	0.0
ENCSR000BGK	14132.0	4547682.0	301954.0	0.002905566219441388	0.9350121140646511	0.062082319715907504	13	0.9586520693349618	0.20376762654676397	0.07500707613925842	0.006580809510331164	0.002759694310784036	0.0022643645626945937
ENCSR000BKP	4639.0	4667094.0	192035.0	0.0009537872694585761	0.9595634495724302	0.03948276315811116	14	0.9695631012266114	0.1783316048989862	0.022634188402672988	0.008406984263849967	0.004311273981461522	0.0006466910972192282
