	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recall@50%FDR	recall@25%FDR	recall@10%FDR
ENCSR000ANS	1046.0	229969.0	12174.0	0.004301181385671227	0.9456389886055702	0.05005983000875862	0	0.9915464705538872	0.6814883169288839	0.7189292543021033	0.5889101338432122	0.42447418738049714
ENCSR315NAC	1221.0	229826.0	12142.0	0.005020786302012015	0.9450509685882174	0.04992824510977059	1	0.9954231978067402	0.7976817719892519	0.846027846027846	0.7461097461097461	0.6085176085176085
ENCSR847XGE	2460.0	225136.0	15593.0	0.010115589109704797	0.9257655568302843	0.06411885406001094	2	0.9853901072912459	0.7766652994292664	0.8264227642276423	0.675609756097561	0.526829268292683
ENCSR987GXT	1813.0	227523.0	13853.0	0.0074551069332905685	0.9355809678891727	0.05696392517753681	3	0.9916374783069579	0.7430409119614892	0.7815774958632101	0.6304467733039162	0.48372862658576943
ENCSR254YRM	677.0	231704.0	10808.0	0.0027838430192155075	0.9527733573475774	0.044442799633207096	4	0.9885344375095592	0.6982450328860809	0.7459379615952733	0.638109305760709	0.43870014771048743
ENCSR785YRL	596.0	223777.0	18816.0	0.0024507687436520565	0.9201773106513864	0.07737192060496158	5	0.9698872601268047	0.4677207101888133	0.4899328859060403	0.2600671140939597	0.07550335570469799
ENCSR000DTL	1245.0	231111.0	10833.0	0.005119474976253037	0.9503349246882055	0.044545600335541495	6	0.9867108346675121	0.6553738091654031	0.6779116465863454	0.5437751004016064	0.41526104417670684
ENCSR000DRP	981.0	239444.0	2764.0	0.004033899559601791	0.9846004547903071	0.011365645650091082	7	0.9907128055121786	0.6887172425673281	0.7380224260958206	0.5718654434250765	0.4087665647298675
ENCSR000DPM	1013.0	229296.0	12880.0	0.004165484458589821	0.9428715936987282	0.05296292184268203	8	0.9856238577854303	0.6543389657494518	0.6850937808489634	0.56071076011846	0.3790720631786772
ENCSR000DMS	1032.0	235100.0	7057.0	0.0042436129923639635	0.9667378047526821	0.029018582254953965	9	0.992854131426838	0.7071518667957898	0.7655038759689923	0.5901162790697675	0.39825581395348836
ENCSR000DUU	1014.0	233813.0	8362.0	0.004169596486683197	0.9614456245965073	0.03438477891680956	10	0.9906612329172073	0.7132807954884067	0.7445759368836292	0.631163708086785	0.44970414201183434
ENCSR303GFI	1398.0	221897.0	19894.0	0.0057486152745395555	0.9124466978358396	0.08180468688962084	11	0.9817674110266383	0.740405877903758	0.7982832618025751	0.6466380543633763	0.4721030042918455
ENCSR000DXI	851.0	238102.0	4236.0	0.0034993359074629196	0.9790821130889966	0.017418551003540457	12	0.9937691931711302	0.7180204849743691	0.7696827262044653	0.645123384253819	0.4300822561692127
ENCSR000DKV	759.0	242430.0		0.003121029322872334	0.9968789706771277		13	0.9966393787277987	0.7322358655949643	0.7997364953886693	0.6284584980237155	0.42424242424242425
ENCSR000DPP	908.0	232918.0	9363.0	0.0037337215087853482	0.9577653594529357	0.03850091903827887	14	0.9889257551191278	0.7037255928506739	0.7566079295154186	0.6211453744493393	0.4008810572687225
ENCSR000DMH	367.0	240986.0	1836.0	0.0015091143102689678	0.9909412021102928	0.007549683579438215	15	0.9943952729082072	0.8004838467188097	0.9209809264305178	0.782016348773842	0.3869209809264305
ENCSR000DXD	1385.0	228233.0	13571.0	0.005695158909325668	0.9385005078354696	0.0558043332552048	16	0.9899633728221339	0.6867620899209471	0.7140794223826715	0.5747292418772563	0.43610108303249095
ENCSR243INX	1762.0	220655.0	20772.0	0.007245393500528396	0.9073395589438668	0.0854150475556049	17	0.9785336730024021	0.7185444765627681	0.7622020431328036	0.6061293984108967	0.47048808172531215
ENCSR000EFI	782.0	231666.0	10741.0	0.0032156059690199804	0.9526171002800291	0.04416729375095091	18	0.992271807969066	0.722674530954357	0.7877237851662404	0.6534526854219949	0.43861892583120204
ENCSR560BUE	1413.0	225465.0	16311.0	0.005810295695940194	0.927118414073005	0.06707129023105486	19	0.9917229673128628	0.7245057793408214	0.7664543524416136	0.6291578202406228	0.47558386411889597
ENCSR460LGH	3431.0	225123.0	14635.0	0.01410836838837283	0.9257121004650704	0.060179531146556796	20	0.9744045469269571	0.7718131213872812	0.8245409501603032	0.689011949868843	0.5263771495190906
ENCSR000DRZ	747.0	235338.0	7104.0	0.0030716849857518225	0.9677164674389055	0.029211847575342634	21	0.996700424942368	0.7604985755167302	0.8192771084337349	0.6827309236947792	0.5113788487282463
ENCSR000BQE	395.0	233119.0	9675.0	0.001624251096883494	0.9585918770997044	0.03978387180341216	22	0.9896938060807864	0.7915930519011664	0.9088607594936708	0.7468354430379747	0.45569620253164556
ENCSR817HTJ	2007.0	228004.0	13178.0	0.0082528403834055	0.9375588534020864	0.054188306214508056	23	0.9801089742592912	0.6928864153489946	0.7184853014449427	0.5894369706028899	0.4613851519681116
ENCSR000BIE	1072.0	228286.0	13831.0	0.0044080941160990015	0.9387184453244185	0.056873460559482544	24	0.9907386441869659	0.7465126870227878	0.8078358208955224	0.6567164179104478	0.4701492537313433
ENCSR072EUE	1338.0	225534.0	16317.0	0.005501893588937	0.9274021440114479	0.06709596239961511	25	0.9922709064126737	0.7318452515059214	0.7795216741405082	0.6375186846038864	0.5142002989536621
ENCSR252QYR	1038.0	228053.0	14098.0	0.004268285160924219	0.9377603427786618	0.05797137206041392	26	0.9933499638520799	0.7380819118333481	0.7842003853564548	0.6271676300578035	0.5038535645472062
ENCSR000DUS	1066.0	231233.0	10890.0	0.004383421947538746	0.9508365921155973	0.04477998593686392	27	0.9887676342865718	0.6876074589602883	0.7185741088180112	0.5919324577861164	0.450281425891182
ENCSR265ARE	2543.0	225061.0	15585.0	0.010456887441455	0.925457154723281	0.06408595783526393	28	0.9865334556224293	0.7526665223066762	0.8069209594966575	0.6464805348014157	0.4742430200550531
ENCSR000AUE	1561.0	223337.0	18291.0	0.006418875853759833	0.918368018290301	0.07521310585593921	29	0.9941890973820923	0.7464285896075674	0.791800128122998	0.6489429852658553	0.48302370275464446
ENCSR000DMF	762.0	236748.0	5679.0	0.003133365407152462	0.9735144270505656	0.023352207542281928	30	0.9940062269606182	0.7624541858927804	0.8320209973753281	0.6863517060367454	0.5131233595800525
ENCSR261VAS	898.0	228360.0	13931.0	0.0036926012278515885	0.9390227354033283	0.057284663368820134	31	0.992192996366851	0.7850712765167539	0.8396436525612472	0.7282850779510023	0.5824053452115813
ENCSR000DTA	1239.0	230982.0	10968.0	0.005094802807692782	0.9498044730641599	0.045100724128147245	32	0.9891992237179382	0.6767017434471833	0.711864406779661	0.5706214689265536	0.41081517352703795
ENCSR000DQY	53.0	241617.0	1519.0	0.0002179374889489245	0.993535891837213	0.006246170673838044	33	0.9998087570528158	0.5767764424602185	0.9056603773584906	0.07547169811320754	0.018867924528301886
ENCSR000AOA	1090.0	229530.0	12569.0	0.004482110621779768	0.9438338082725781	0.05168408110564211	34	0.9914906228403715	0.7087851570011201	0.7568807339449541	0.634862385321101	0.45871559633027525
ENCSR000DTO	1034.0	230457.0	11698.0	0.004251837048550716	0.9476456583151376	0.048102504636311674	35	0.9922480933918292	0.7315936652958218	0.7823984526112185	0.6595744680851063	0.4748549323017408
ENCSR000DRE	691.0	240258.0	2240.0	0.0028414114125227706	0.9879476456583152	0.009210942929162092	36	0.9970886759830143	0.756351202716754	0.8422575976845152	0.6599131693198264	0.4703328509406657
ENCSR000DNI	579.0	234472.0	8138.0	0.002380864266064666	0.964155451110042	0.03346368462389335	37	0.9936143300928331	0.7188116924540553	0.7754749568221071	0.6269430051813472	0.37305699481865284
ENCSR634OAQ	1352.0	225076.0	16761.0	0.005559461982244262	0.9255188351446817	0.06892170287307403	38	0.993365561150101	0.7778192795844414	0.8232248520710059	0.7026627218934911	0.5865384615384616
ENCSR000DVH	934.0	236300.0	5955.0	0.0038406342392131223	0.9716722384647332	0.024487127296053686	39	0.9941958286249197	0.7300115690290275	0.7773019271948608	0.6595289079229122	0.47751605995717344
ENCSR000DSZ	1044.0	226808.0	15337.0	0.004292957329484475	0.9326408678024088	0.0630661748681067	40	0.9927954173030177	0.7025084891601947	0.75	0.6130268199233716	0.4099616858237548
ENCSR000DYD	849.0	229336.0	13004.0	0.003491111851276168	0.9430360748224632	0.053472813326260644	41	0.9860737839435921	0.711703586723576	0.7656065959952886	0.6431095406360424	0.4004711425206125
ENCSR857PBV	2422.0	226560.0	14207.0	0.009959332042156512	0.9316210848352516	0.05841958312259189	42	0.9855552953782301	0.7655958745019835	0.814616019818332	0.6560693641618497	0.5045417010734929
ENCSR000DNA	771.0	232369.0	10049.0	0.003170373659992845	0.9555078560296724	0.04132177031033476	43	0.9969946694481902	0.7421843505602427	0.808041504539559	0.642023346303502	0.42282749675745784
ENCSR000DLS	747.0	242442.0		0.0030716849857518225	0.9969283150142482		44	0.9975797023872017	0.7376558504946892	0.8313253012048193	0.6358768406961178	0.35609103078982596
ENCSR000DQI	991.0	232418.0	9780.0	0.004075019840535551	0.9557093454062479	0.040215634753216635	45	0.9888507491708348	0.6788433612005654	0.7144298688193743	0.5812310797174571	0.38244197780020184
ENCSR619IUE	976.0	233468.0	8745.0	0.004013339419134911	0.9600269749042926	0.03595968567657254	46	0.997523638669757	0.800299167798648	0.860655737704918	0.7295081967213115	0.5983606557377049
ENCSR203QEB	2800.0	213852.0	26537.0	0.011513678661452614	0.8793654318246302	0.10912088951391716	47	0.9781239779313331	0.7786719537981792	0.8367857142857142	0.7	0.53
ENCSR000APF	1178.0	231285.0	10726.0	0.00484396909399685	0.9510504175764529	0.04410561332955027	48	0.9911693482779628	0.726348030329816	0.7750424448217318	0.6477079796264855	0.49745331069609505
ENCSR000DQW	967.0	231924.0	10298.0	0.003976331166294528	0.9536780035281202	0.04234566530558537	49	0.9933055063129388	0.7358285994485472	0.7828335056876939	0.656670113753878	0.48810754912099275
ENCSR000DQN	849.0	232922.0	9418.0	0.003491111851276168	0.9577818075653093	0.03872708058341454	50	0.9944879964012076	0.734820116630779	0.7985865724381626	0.6560659599528857	0.4664310954063604
ENCSR000BSE	892.0	228215.0	14082.0	0.003667929059291333	0.9384264913297887	0.057905579610919904	51	0.992163976047683	0.7195414865229046	0.8060538116591929	0.6591928251121076	0.4327354260089686
ENCSR000DTR	1019.0	229996.0	12174.0	0.004190156627150077	0.9457500133640913	0.05005983000875862	52	0.9870050925150706	0.6568498721541622	0.7065750736015701	0.5691854759568205	0.3395485770363101
ENCSR000DWH	1213.0	230990.0	10986.0	0.004987890077265008	0.9498373692889069	0.04517474063382801	53	0.9920148843536551	0.6997528941464216	0.7502061005770816	0.5861500412201154	0.41220115416323166
ENCSR000DWY	729.0	242094.0	366.0	0.002997668480071056	0.9954973292377534	0.0015050022821755918	54	0.9946466564818666	0.6732380844247887	0.747599451303155	0.5157750342935528	0.3429355281207133
ENCSR000DZN	672.0	235582.0	6935.0	0.0027632828787486274	0.9687198022936893	0.028516914827562103	55	0.9949651983982121	0.7643616428611941	0.8214285714285714	0.7068452380952381	0.5491071428571429
ENCSR000BNH	945.0	233791.0	8453.0	0.0038858665482402574	0.961355159978453	0.03475897347330677	56	0.9950618988845439	0.7540067484517667	0.8095238095238095	0.674074074074074	0.508994708994709
ENCSR000EGM	959.0	233195.0	9035.0	0.0039434349415475205	0.9589043912348009	0.03715217382365156	57	0.9901030122856316	0.6981064797475202	0.7518248175182481	0.6068821689259646	0.3962460896767466
ENCSR812FNU	1732.0	225384.0	16073.0	0.007122032657727118	0.9267853397974415	0.06609262754483139	58	0.98630524177408	0.7367406477812835	0.7782909930715936	0.640877598152425	0.5150115473441108
ENCSR000DQD	1166.0	231998.0	10025.0	0.004794624756876339	0.9539822936070299	0.041223081636093735	59	0.990155104179123	0.6815378008182083	0.7118353344768439	0.5789022298456261	0.4065180102915952
ENCSR000DLG	424.0	233614.0	9151.0	0.001743499911591396	0.9606273310059255	0.03762916908248317	60	0.997233376707037	0.7885037274329388	0.8726415094339622	0.7570754716981132	0.5141509433962265
ENCSR822CEA	1459.0	223668.0	18062.0	0.0059994489882354875	0.9197290995892083	0.07427145142255612	61	0.9852852288181018	0.7251834983327894	0.7799862919808088	0.6394790952707334	0.46333104866346814
ENCSR000DNC	755.0	239179.0	3255.0	0.00310458121049883	0.9835107673455625	0.013384651443938664	62	0.9944681792120612	0.6409584221294997	0.7258278145695364	0.5390728476821192	0.003973509933774834
ENCSR611JJS	1560.0	226174.0	15455.0	0.006414763825666457	0.9300338419912085	0.06355139418312505	63	0.9925086636270283	0.7479763658148169	0.7980769230769231	0.6557692307692308	0.5044871794871795
ENCSR125DKL	2065.0	223676.0	17448.0	0.008491338012821304	0.9197619958139553	0.0717466661732233	64	0.9859192670027257	0.6946404934759987	0.7094430992736077	0.5554479418886199	0.4314769975786925
ENCSR000DXQ	854.0	237217.0	5118.0	0.0035116719917430476	0.9754429682263589	0.02104535978189803	65	0.995205952742861	0.7407770985513523	0.8032786885245902	0.65807962529274	0.477751756440281
ENCSR000DUB	653.0	239275.0	3261.0	0.0026851543449744847	0.9839055220425266	0.01340932361249892	66	0.9976820483905008	0.7730591369412954	0.8545176110260337	0.6998468606431854	0.4655436447166922
ENCSR000DSU	869.0	231322.0	10998.0	0.0035733524131436865	0.9512025626159077	0.04522408497094852	67	0.9938817170838206	0.7385573700306924	0.8032220943613348	0.6766398158803222	0.476409666283084
ENCSR000DMO	964.0	236236.0	5989.0	0.0039639950820144	0.9714090686667571	0.024626936251228467	68	0.9944074360480226	0.6379082131672845	0.6867219917012448	0.4605809128630705	0.229253112033195
ENCSR756ZKG	1393.0	227299.0	14497.0	0.005728055134072676	0.9346598735962565	0.05961207126967091	69	0.9902553160044936	0.7242578947261094	0.7666905958363245	0.6374730796841349	0.4809763101220388
ENCSR000DUX	879.0	229827.0	12483.0	0.0036144726940774458	0.9450550806163107	0.051330446689611786	70	0.9929494105852474	0.7301238877049305	0.7770193401592719	0.6791808873720137	0.4789533560864619
ENCSR000DTW	953.0	237284.0	4952.0	0.0039187627729872655	0.9757184741086151	0.020362763118397624	71	0.9962257738248868	0.7698940175624127	0.832109129066107	0.6883525708289612	0.5131164742917104
ENCSR036EGV	1961.0	225822.0	15406.0	0.008063687091110206	0.9285864081023402	0.06334990480654965	72	0.9740937952281317	0.6677522934825213	0.6955634880163182	0.5655277919428863	0.4176440591534931
ENCSR000DKR	493.0	233771.0	8925.0	0.0020272298500343356	0.9612729194165854	0.03669985073338021	73	0.9962487039920823	0.7749206598766617	0.8397565922920892	0.7403651115618661	0.5760649087221096
ENCSR000DKZ	502.0	234088.0	8599.0	0.0020642381028747186	0.9625764323221856	0.03535932957493965	74	0.9827501024234289	0.7315317563171757	0.8027888446215139	0.6832669322709163	0.4601593625498008
ENCSR000DVQ	1005.0	230687.0	11497.0	0.004132588233842814	0.9485914247766141	0.04727598698954311	75	0.9907698348650873	0.6940707777802972	0.7293532338308458	0.6029850746268657	0.41194029850746267
ENCSR000DUP	295.0	239982.0	2912.0	0.0012130482875459005	0.9868127259045434	0.011974225807910719	76	0.9995603483820609	0.8181110991053228	0.9220338983050848	0.823728813559322	0.5966101694915255
ENCSR000DTI	1105.0	226291.0	15793.0	0.004543791043180407	0.9305149492781335	0.06494125967868612	77	0.9927007292556129	0.7052956683040433	0.7628959276018099	0.6036199095022624	0.41357466063348414
ENCSR000DXW	1014.0	234468.0	7707.0	0.004169596486683197	0.9641390029976685	0.031691400515648324	78	0.9942459292376322	0.7214465124864204	0.7879684418145957	0.6203155818540433	0.4349112426035503
ENCSR000DLW	714.0	242475.0		0.0029359880586704167	0.9970640119413295		79	0.996948040789674	0.7424779661053237	0.8445378151260504	0.6512605042016807	0.40896358543417366
ENCSR000DMR	1440.0	234189.0	7560.0	0.005921320454461345	0.9629917471596166	0.03108693238592206	80	0.9932716648376596	0.6915822767898302	0.7340277777777777	0.5645833333333333	0.3576388888888889
ENCSR000DWE	803.0	241878.0	508.0	0.003301958558980875	0.9946091311695842	0.0020889102714349746	81	0.9969232144933311	0.7484161489015951	0.8244084682440846	0.6475716064757161	0.44582814445828145
ENCSR000DMA	864.0	242325.0		0.003552792272676807	0.9964472077273232		82	0.9958786242267234	0.7381992592080734	0.8043981481481481	0.6331018518518519	0.4444444444444444
ENCSR000DRU	765.0	234799.0	7625.0	0.0031457014914325894	0.965500084296576	0.0313542142119915	83	0.9957470089769731	0.7562372777438582	0.8117647058823529	0.6745098039215687	0.5084967320261438
