	auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
0	0.9559893295126606	0.1977221421654494	0.08988194761108578	0.0	0.0	0.0
1	0.9798769277507947	0.3792986021757645	0.3381266490765171	0.13555408970976254	0.02038258575197889	0.0
2	0.9285368582230344	0.12053406535258004	0.0	0.0	0.0	0.0
3	0.9637776926230938	0.18507431511939093	0.11502699460107979	0.0	0.0	0.0
4	0.9726865777877622	0.20895232774573846	0.11572412455136288	0.0	0.0	0.0
5	0.9364100643504905	0.15650578800657874	0.03858795687615041	0.01288456481724954	0.0026952405995266894	0.0026295030239284773
6	0.9672741890671523	0.22570914894894228	0.11849223946784923	0.02376940133037694	0.00017738359201773836	0.00017738359201773836
7	0.9210572253795419	0.0975638076784299	0.0	0.0	0.0	0.0
8	0.8625081193411354	0.013063041257084634	0.0	0.0	0.0	0.0
9	0.9404928766313513	0.15760919749890956	0.028357159596906493	0.00014061401453011483	4.687133817670495e-05	4.687133817670495e-05
10	0.9413404680857149	0.04008811619593762	0.0	0.0	0.0	0.0
11	0.9666601797354171	0.2291715228464451	0.10707236842105264	0.015131578947368421	0.0010964912280701754	0.0008771929824561404
12	0.9445274314541696	0.013944879658078882	0.0	0.0	0.0	0.0
13	0.9738002928218539	0.18587463336198437	0.08559227627181581	0.010025993316004456	0.0	0.0
14	0.9869104967261201	0.5320027815120896	0.5792333761832418	0.3102722916910132	0.02179502161972654	0.006719644735304429
