	auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
0	0.9855951046078179	0.6437546036881343	0.6878542510121457	0.5104895104895105	0.30253956569746043	0.002576370997423629
1	0.991788899810216	0.5912446188709171	0.6092966060009838	0.41249385145105755	0.23590752582390556	0.09837678307919331
2	0.9895347196484984	0.7070383119751292	0.7655018705723156	0.61701026824803	0.40460081190798375	0.06176868582344981
3	0.9953448482844688	0.7121312450212918	0.7750415563627409	0.6141722588191837	0.358739149171951	0.015760635350612572
4	0.9814837104892274	0.729172717188925	0.7775357403735782	0.6197432954189711	0.43487164770948555	0.28915788375247836
5	0.996006388655789	0.7570757218274958	0.8310285421613819	0.6749546025981282	0.45262373702099923	0.05000698421567258
6	0.9861934781056387	0.706088505936477	0.7838473365288957	0.6313647463145519	0.35922944740888124	0.012480781405444515
7	0.9858550723718695	0.7289198535156368	0.799373781532463	0.6367637502215395	0.4311159685709222	0.11573226206652094
8	0.9886802881409976	0.6712787695697496	0.7217311795184395	0.5442156137066225	0.33308660251665434	0.06300343971785606
9	0.9873809944572159	0.7115384744600168	0.7747785304846274	0.6081813444502345	0.3965607087024492	0.06883793642522147
10	0.9901080485399699	0.7088485120421235	0.7627215916337202	0.6181290651702589	0.4060068868766739	0.03953577349827828
11	0.9863891412026231	0.679401768973471	0.7274843687641346	0.5626912332047359	0.3632765731009711	0.053212717839563654
12	0.9828610449373862	0.6285260417618623	0.6672702358813741	0.5026426543995302	0.31423118332191446	0.017177253596946267
13	0.9931433621072664	0.7100355955041452	0.7697229194350116	0.5977164230523155	0.3949505389044736	0.06860573847138146
14	0.9938571046350584	0.7229034398734328	0.7944196279751984	0.6142409493966264	0.3966931128741916	0.005167011134075605
15	0.9660642796501826	0.47021066589696237	0.45371000680735196	0.27018379850238256	0.07556160653505786	0.0002042205582028591
16	0.9886219797102501	0.7492513432337822	0.8117664592570513	0.6580722083535154	0.4582883117850889	0.23827266291590596
17	0.98821286968628	0.7113070761739219	0.7711135484615829	0.616694567915488	0.4067136177336489	0.04355481152225365
18	0.9933323821614345	0.7119538237396619	0.776740151051235	0.614206981016534	0.38135333741579913	0.015105123494590733
19	0.9939584265290062	0.7108147900290069	0.7601927637114664	0.6130191998776103	0.4137535378260537	0.1324868048649889
20	0.9961664004794399	0.6949017550536739	0.7695204901905672	0.5503400978132554	0.301590870762831	0.012929338355163304
21	0.9946851463464048	0.7089503882792823	0.7704753873721936	0.6001370296194792	0.3825761568462106	0.0737324760198166
22	0.9955805927996673	0.7325271827747539	0.8001574040440731	0.6388182588691125	0.42741251967550553	0.08608790410461314
