	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR000EBD	6509.0	4857259.0		0.0013382628447738461	0.9986617371552261		0	0.9589465228732531	0.0965874408178029	0.0013827008757105546	0.0	0.0	0.0
ENCSR000EAN	4845.0	4858923.0		0.0009961412633168359	0.9990038587366832		1	0.9673791451566066	0.0964404598375177	0.014241486068111455	0.0	0.0	0.0
ENCSR000EBM	2654.0	4861114.0		0.0005456674742709768	0.999454332525729		2	0.9722335693314227	0.0882756747877679	0.003014318010550113	0.0011303692539562924	0.0	0.0
ENCSR000EAG	10269.0	4853499.0		0.002111326033643052	0.9978886739663569		3	0.94492548052805	0.10232709270771254	0.004674262342973999	0.0	0.0	0.0
