	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recall@50%FDR	recall@25%FDR	recall@10%FDR
ENCSR000EUP	148.0	238008.0	5033.0	0.0006085801578196383	0.9786955824482193	0.020695837393961077	0	0.9697641607776981	0.16797473589158335	0.11486486486486487	0.013513513513513514	0.013513513513513514
ENCSR000EFV	752.0	231696.0	10741.0	0.003092245126218702	0.9527404611228304	0.04416729375095091	1	0.955784649079792	0.3001655725527945	0.23537234042553193	0.08643617021276596	0.006648936170212766
ENCSR000EEZ	145.0	243044.0		0.0005962440735395104	0.9994037559264605		2	0.9845305433555667	0.16825792593807867	0.041379310344827586	0.006896551724137931	0.006896551724137931
ENCSR000BLP	1217.0	231035.0	10937.0	0.005004338189638512	0.9500224105531089	0.044973251257252586	3	0.9614716306718727	0.35978086435614004	0.31470829909613807	0.15283483976992604	0.030402629416598194
ENCSR521IID	1135.0	221709.0	20345.0	0.004667151885981685	0.9116736365542849	0.08365921155973338	4	0.9230911563383387	0.11829054872983565	0.000881057268722467	0.0	0.0
ENCSR000EDS	411.0	221759.0	21019.0	0.0016900435463775088	0.9118792379589538	0.08643071849466875	5	0.9817252402048128	0.3356582700971659	0.340632603406326	0.029197080291970802	0.021897810218978103
ENCSR000EHS	630.0	242559.0		0.0025905776988268386	0.9974094223011731		6	0.9656200877194533	0.18688444540966212	0.09523809523809523	0.03333333333333333	0.0
ENCSR847DIT	960.0	223530.0	18699.0	0.003947546969640897	0.9191616397123226	0.07689081331803659	7	0.9586124415626538	0.23407039768588123	0.16354166666666667	0.0	0.0
ENCSR000ECN	642.0	242547.0		0.0026399220359473495	0.9973600779640527		8	0.9607125346692289	0.18439736411782343	0.0	0.0	0.0
ENCSR000DZF	545.0	224338.0	18306.0	0.002241055310889884	0.9224841584117702	0.07527478627733984	9	0.9633994772468575	0.322126253739122	0.3247706422018349	0.09357798165137615	0.003669724770642202
