tf	cell	expr	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
JUND	GM12878	ENCSR000EYV	1500.0	4862268.0		0.00030840286789994917	0.9996915971321001		0	0.9437906864313795	0.052232092780955273	0.017333333333333333	0.004666666666666667	0.004666666666666667	0.004666666666666667
JUND	GM12878	ENCSR000DYS	3394.0	4616388.0	243986.0	0.0006978128891016183	0.9491381990259404	0.050163988084958	1	0.9463325113382578	0.06018291319596513	0.0041249263406010605	0.0035356511490866236	0.0035356511490866236	0.002357100766057749
	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
Merged	4096.0	4616118.0	243554.0	0.0008421454312787946	0.9490826865097184	0.05007516805900281	0	0.9409840316412783	0.0694005718118122	0.002685546875	0.0	0.0	0.0
